X,Y
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.00393756,0.0
0.00808236,0.0
0.012019920000000002,0.0
0.01595748,0.0
0.01989504,0.0
0.024039840000000003,0.0
0.024039840000000003,0.0
0.03191496,0.0
0.035852520000000006,0.0
0.03999732,0.0
0.03999732,0.0
0.04787244,0.0
0.05201724,0.0
0.055954800000000006,0.0
0.059892360000000006,0.0
0.06382992,0.0
0.06382992,0.0
0.07191228000000001,0.0
0.07584984,0.0
0.07999464,0.0
0.08393220000000001,0.0
0.08786976,0.0
0.09180732,0.0
0.09595212,0.0
0.09988968,0.0
0.10382724,0.0
0.10776480000000001,0.0
0.10776480000000001,0.0
0.11584716,0.0
0.11978472000000001,0.0
0.12392952000000002,0.0
0.12786708000000002,0.0
0.13180464,0.0
0.1357422,0.0
0.139887,0.0
0.14382456000000002,0.0
0.14776212,0.0
0.15190692,0.0
0.15584448,0.0
0.15978204,0.0
0.1637196,0.0
0.16786440000000002,0.0
0.17180196000000003,0.0
0.17573952,0.0
0.17967708,0.0
0.18382188000000002,0.0
0.18775944,0.0
0.191697,0.0
0.1958418,0.0
0.1958418,0.0
0.20371692,0.0
0.20765448,0.0
0.21179928,0.0
0.21573684,0.0
0.2196744,0.0
0.2216431688703159,5.7330375160483945e-06
0.22371547467871897,2.5044057593684876e-05
0.2256840084950496,5.600122811805523e-05
0.22775595113993236,9.944851793630607e-05
0.22972405226770606,0.00015104002208083677
0.23179534595801546,0.00021861758878709435
0.23376262453077626,0.0002954209064254718
0.23572942244261683,0.0003836802199489934
0.23769567298273742,0.00048339253573576144
0.23769567298273742,0.00048339253573576144
0.2417295566345307,0.0007256631683488985
0.2436936075193209,0.0008620004501131504
0.24565683107611744,0.0010097739202735547
0.24565683107611744,0.0010097739202735547
0.24968358249617184,0.001350633681350839
0.2516437112742811,0.0015349673615940944
0.25370596038509896,0.0017398150992123545
0.2556640490987451,0.001944686575839833
0.25762091144695903,0.00216095835529087
0.25762091144695903,0.00216095835529087
0.26163329613715247,0.0026422913725805625
0.2635857883034514,0.002894992921814755
0.26553677564009764,0.003159061368794444
0.2675886223583634,0.0034501787399342856
0.26953606621061615,0.0037392222916134937
0.27148179366544783,0.0040396027236631864
0.27342573872673664,0.00435130984763506
0.27536783545881693,0.004674333090896562
0.27740992628279976,0.005027446876584064
0.27740992628279976,0.005027446876584064
0.2813858260743945,0.005750777422974076
0.283319871420335,0.006118951746209897
0.28535318280438465,0.006519537685218556
0.28728235221311266,0.006912461500826902
0.2892092005426531,0.007316614005942349
0.29113366243723554,0.007731981492325385
0.2930556726220337,0.008158549871341372
0.2930556726220337,0.008158549871341372
0.29699249986477816,0.009070856637959191
0.2989062269142227,0.009533168775663058
0.30081722903343827,0.010006618490836417
0.30282557497873586,0.010517862897205986
0.30473035422444805,0.01101575822510962
0.30673261138934976,0.011550361102277227
0.3086320665619516,0.012068196770921434
0.3105284736810458,0.012597085956945015
0.31252108293767145,0.013166588046008228
0.31441055806999774,0.013719731297584754
0.3162967796890764,0.014283869344665906
0.31817968381713313,0.014858983052545469
0.3201577679849376,0.015477050447024836
0.32203314898870294,0.016076241420889023
0.3239050085394013,0.016686344326064265
0.3257732831463981,0.017307338468786203
0.3276379094406545,0.01793920278587612
0.32959637149307186,0.018616883144362998
0.33145274905327066,0.019272585886796114
0.33340318705988925,0.019973032582137028
0.33525258891985305,0.02064815960189432
0.33709802752090023,0.02133404596435463
0.33903592813147354,0.022068461039483834
0.3408724274227609,0.022777935553152252
0.34270476363644947,0.023498093683321987
0.34453287462247617,0.0242289110033224
0.3464522330325011,0.0250105039746982
0.34827083045880686,0.025764683750002695
0.35008500475067156,0.02652944212438066
0.351894694374057,0.027304753158388925
0.3536998379470382,0.028090590554654026
0.3555946496166682,0.028929943290797462
0.3574845429544622,0.02978031800963513
0.3574845429544622,0.02978031800963513
0.3610620303041451,0.03142524588700799
0.36293677616443126,0.03230850815744483
0.3647123737518271,0.03315900033264593
0.3664829880170717,0.0340198190453586
0.3682485589036169,0.03489093509791887
0.37000902652597817,0.03577231894339239
0.3718561675570063,0.036711943491033565
0.37360519805726355,0.037615810760943225
0.37534893483295695,0.03852984893823047
0.37708731873918183,0.03945402702010773
0.37891092566223816,0.04043854825868936
0.3806373259632583,0.041384923307537215
0.3824493438513178,0.042390619665305634
0.38416572849180886,0.043355040475082374
0.3858764673016318,0.04432944103799773
0.3876706360637099,0.04536664050397368
0.38936875006826516,0.046362879712184786
0.3910610332437909,0.04736899172696082
0.3927474281906103,0.048384942422509375
0.39451569218265164,0.04946571378292173
0.3961889319665429,0.05050318781057135
0.39785610119443077,0.05155038907968245
0.39785610119443077,0.05155038907968245
0.40117200199861985,0.0536738309356507
0.40290672941413386,0.05480764973638634
0.40463482607918616,0.055951553537809944
0.406270798494376,0.057046851665801666
0.407900364221908,0.05815165901194718
0.4096082100440185,0.05932557848403092
0.4112234868086065,0.060451173751534346
0.4112234868086065,0.060451173751534346
0.41443423741777574,0.06273049031239615
0.41602960235857,0.06388413429479656
0.41770111878436056,0.0651092290329086
0.4192815718562131,0.06628321873478667
0.42085516088752745,0.06746639297933876
0.42242183250455206,0.06865871163509042
0.4239815335681639,0.06986013426040266
0.4256151876695578,0.07113528074455121
0.4272413895364668,0.0724199213474974
0.4287798624783708,0.07364841015065074
0.43031115469257863,0.07488583808275458
